"timestamp","device_id","device_type","protocol","packet_rate","byte_rate","error_rate","temperature","cpu_usage","memory_usage","latency","command_freq","packet_rate_change","byte_rate_change","cpu_temp_ratio","avg_latency_5s","high_latency_flag","attack_type","label"
2025-10-27 10:00:00,"IIOT_8","Actuator","MQTT",29,2196,0.081,35.7,45.6,50.7,94,10,0,0,1.28,100.4654,0,"Spoofing",1
2025-10-27 10:05:00,"IIOT_3","Actuator","MQTT",140,1676,0.069,31.5,30.6,60.3,118,4,111,-520,0.97,100.4654,0,"Normal",0
2025-10-27 10:10:00,"IIOT_8","Sensor","MQTT",129,2620,0.027,27.9,70,61.2,61,9,-11,944,2.51,100.4654,0,"Normal",0
2025-10-27 10:15:00,"IIOT_4","Controller","Modbus",50,1831,0.05,31.2,26.5,60.8,31,2,-79,-789,0.85,100.4654,0,"Normal",0
2025-10-27 10:20:00,"IIOT_3","Controller","MQTT",134,1108,0.016,22.1,65,61.5,57,2,84,-723,2.94,72.2,0,"Data Injection",1
2025-10-27 10:25:00,"IIOT_2","Controller","MQTT",71,2259,0.049,36.5,58.6,66.8,79,8,-63,1151,1.61,69.2,0,"Normal",0
2025-10-27 10:30:00,"IIOT_5","Controller","MQTT",209,1798,0.084,31.3,71.4,77,147,3,138,-461,2.28,75,0,"DoS",1
2025-10-27 10:35:00,"IIOT_4","Sensor","MQTT",84,3101,0.02,22.9,28.6,58.2,54,9,-125,1303,1.25,73.6,0,"Data Injection",1
2025-10-27 10:40:00,"IIOT_3","Controller","MQTT",76,3788,0.032,34.4,20.6,74.4,70,5,-8,687,0.6,81.4,0,"Normal",0
2025-10-27 10:45:00,"IIOT_10","Sensor","MQTT",146,2064,0.053,32.6,59.1,67.6,154,1,70,-1724,1.81,100.8,1,"Normal",0
2025-10-27 10:50:00,"IIOT_2","Sensor","MQTT",117,2244,0.038,30.2,50.6,34.9,47,9,-29,180,1.68,94.4,0,"Spoofing",1
2025-10-27 10:55:00,"IIOT_8","Controller","Modbus",106,2265,0.037,31.7,52,45.3,127,2,-11,21,1.64,90.4,0,"Normal",0
2025-10-27 11:00:00,"IIOT_8","Sensor","Modbus",153,2049,0.031,36.1,86.8,31.7,172,4,47,-216,2.4,114,1,"DoS",1
2025-10-27 11:05:00,"IIOT_10","Actuator","MQTT",173,1919,0.077,29.9,50.7,34.5,77,5,20,-130,1.7,115.4,0,"Normal",0
2025-10-27 11:10:00,"IIOT_2","Sensor","Modbus",122,1197,0.007,25.8,49.6,63.5,67,9,-51,-722,1.92,98,0,"Data Injection",1
2025-10-27 11:15:00,"IIOT_6","Sensor","MQTT",99,2954,0.065,25.3,74.3,33.2,104,8,-23,1757,2.94,109.4,0,"Data Injection",1
2025-10-27 11:20:00,"IIOT_4","Actuator","Modbus",91,2739,0.006,27,48.5,73.4,111,7,-8,-215,1.8,106.2,0,"Normal",0
2025-10-27 11:25:00,"IIOT_7","Sensor","Modbus",131,2361,0.083,31.7,35.7,56.5,150,10,40,-378,1.13,101.8,0,"Spoofing",1
2025-10-27 11:30:00,"IIOT_1","Sensor","MQTT",167,1317,0.041,27.9,66.2,43.4,217,6,36,-1044,2.37,129.8,1,"Spoofing",1
2025-10-27 11:35:00,"IIOT_7","Sensor","MQTT",82,2522,0.065,27.3,76.7,67.9,55,8,-85,1205,2.81,127.4,0,"Data Injection",1
2025-10-27 11:40:00,"IIOT_4","Sensor","MQTT",146,3061,0.08,27.7,71.3,72.4,142,9,64,539,2.57,135,0,"Normal",0
2025-10-27 11:45:00,"IIOT_3","Sensor","MQTT",154,2510,0.099,21.7,23.7,70.9,148,1,8,-551,1.09,142.4,0,"Normal",0
2025-10-27 11:50:00,"IIOT_7","Sensor","HTTP",69,560,0.048,25.5,41,73.8,154,10,-85,-1950,1.61,143.2,1,"Spoofing",1
2025-10-27 11:55:00,"IIOT_9","Sensor","Modbus",85,2306,0.087,29.6,70.8,47.7,142,2,16,1746,2.39,128.2,0,"Normal",0
2025-10-27 12:00:00,"IIOT_3","Controller","MQTT",137,1341,0.074,36.3,83.9,42.3,90,2,52,-965,2.31,135.2,0,"DoS",1
2025-10-27 12:05:00,"IIOT_5","Controller","Modbus",102,1875,0.097,35.1,65.1,43.5,110,8,-35,534,1.85,128.8,0,"Normal",0
2025-10-27 12:10:00,"IIOT_1","Controller","HTTP",147,1371,0.098,27.6,82.4,48.3,8,6,45,-504,2.99,100.8,0,"Normal",0
2025-10-27 12:15:00,"IIOT_2","Controller","MQTT",119,1747,0.071,20.7,69.3,58.7,103,4,-28,376,3.35,90.6,0,"Normal",0
2025-10-27 12:20:00,"IIOT_4","Sensor","MQTT",115,3394,0.086,30.9,48.1,34,151,8,-4,1647,1.56,92.4,1,"Normal",0
2025-10-27 12:25:00,"IIOT_7","Sensor","MQTT",97,2271,0.016,31.2,82.6,33,25,6,-18,-1123,2.65,79.4,0,"Normal",0
2025-10-27 12:30:00,"IIOT_1","Sensor","Modbus",135,2218,0.032,24.8,41.9,63.5,30,3,38,-53,1.69,63.4,0,"DoS",1
2025-10-27 12:35:00,"IIOT_4","Sensor","Modbus",134,2112,0.046,29.9,74.1,35.5,79,4,-1,-106,2.48,77.6,0,"MITM",1
2025-10-27 12:40:00,"IIOT_3","Sensor","HTTP",82,2807,0.017,25.8,73.6,52.7,150,7,-52,695,2.85,87,0,"Normal",0
2025-10-27 12:45:00,"IIOT_1","Actuator","MQTT",59,3203,0.082,21.5,53.2,50.8,108,2,-23,396,2.47,78.4,0,"Data Injection",1
2025-10-27 12:50:00,"IIOT_1","Sensor","MQTT",66,2741,0.013,39.1,46.3,33,102,7,7,-462,1.18,93.8,0,"DoS",1
2025-10-27 12:55:00,"IIOT_4","Sensor","HTTP",179,2933,0.054,29.9,68.7,55.1,22,7,113,192,2.3,92.2,0,"Spoofing",1
2025-10-27 13:00:00,"IIOT_9","Sensor","Modbus",44,1455,0.025,28,65.6,66.7,127,4,-135,-1478,2.34,101.8,0,"DoS",1
2025-10-27 13:05:00,"IIOT_2","Sensor","MQTT",118,1687,0.068,18.6,73.9,52.9,25,6,74,232,3.97,76.8,0,"MITM",1
2025-10-27 13:10:00,"IIOT_10","Sensor","MQTT",140,2419,0.084,23.2,71.6,58,112,2,22,732,3.09,77.6,0,"DoS",1
2025-10-27 13:15:00,"IIOT_9","Sensor","Modbus",78,3117,0.031,29.6,66.4,43.7,136,4,-62,698,2.24,84.4,0,"Data Injection",1
2025-10-27 13:20:00,"IIOT_5","Sensor","MQTT",111,3023,0.086,32.4,67,60.5,159,4,33,-94,2.07,111.8,1,"Normal",0
2025-10-27 13:25:00,"IIOT_8","Actuator","MQTT",38,1800,0.088,28.8,87.4,50.9,96,5,-73,-1223,3.03,105.6,0,"Normal",0
2025-10-27 13:30:00,"IIOT_3","Sensor","HTTP",89,867,0.034,27.2,51.8,57.7,92,10,51,-933,1.9,119,0,"MITM",1
2025-10-27 13:35:00,"IIOT_10","Sensor","MQTT",183,1687,0.077,20.2,30.5,44.5,153,3,94,820,1.51,127.2,1,"Normal",0
2025-10-27 13:40:00,"IIOT_2","Actuator","MQTT",115,1970,0.02,26,24.7,58,76,7,-68,283,0.95,115.2,0,"DoS",1
2025-10-27 13:45:00,"IIOT_7","Sensor","Modbus",93,1042,0.032,29.5,74.5,73.7,59,9,-22,-928,2.53,95.2,0,"MITM",1
2025-10-27 13:50:00,"IIOT_4","Sensor","MQTT",109,1333,0.07,30.6,44.9,47.4,120,10,16,291,1.47,100,0,"Data Injection",1
2025-10-27 13:55:00,"IIOT_9","Actuator","MQTT",202,2397,0.018,32.3,65.5,63.4,86,8,93,1064,2.03,98.8,0,"Normal",0
2025-10-27 14:00:00,"IIOT_10","Sensor","HTTP",112,2693,0.044,31.9,26.3,33.9,97,1,-90,296,0.82,87.6,0,"Normal",0
2025-10-27 14:05:00,"IIOT_1","Actuator","MQTT",142,306,0.025,24.8,89.2,70.1,100,8,30,-2387,3.6,92.4,0,"Normal",0
2025-10-27 14:10:00,"IIOT_1","Sensor","Modbus",126,1323,0.042,34.7,55.3,54.7,195,7,-16,1017,1.59,119.6,1,"Data Injection",1
2025-10-27 14:15:00,"IIOT_4","Sensor","Modbus",130,2300,0.016,31.2,49.5,35.9,82,2,4,977,1.59,112,0,"Data Injection",1
2025-10-27 14:20:00,"IIOT_10","Sensor","MQTT",135,2247,0.059,28.4,72.3,45.1,122,8,5,-53,2.55,119.2,0,"Normal",0
2025-10-27 14:25:00,"IIOT_5","Sensor","MQTT",155,1430,0.041,28.4,37.7,72.9,146,3,20,-817,1.33,129,0,"MITM",1
2025-10-27 14:30:00,"IIOT_9","Sensor","MQTT",135,1461,0.1,30,49.6,82.6,128,5,-20,31,1.65,134.6,0,"MITM",1
2025-10-27 14:35:00,"IIOT_3","Sensor","Modbus",129,1824,0.02,37.4,21.7,77.4,106,7,-6,363,0.58,116.8,0,"Spoofing",1
2025-10-27 14:40:00,"IIOT_5","Sensor","HTTP",69,1294,0.053,32.9,73.2,80,79,9,-60,-530,2.22,116.2,0,"Normal",0
2025-10-27 14:45:00,"IIOT_5","Actuator","MQTT",101,1941,0.051,31.5,86.5,67.6,145,2,32,647,2.75,120.8,0,"MITM",1
2025-10-27 14:50:00,"IIOT_2","Controller","MQTT",121,1504,0.065,22.2,31,56.3,152,10,20,-437,1.4,122,1,"Normal",0
2025-10-27 14:55:00,"IIOT_9","Actuator","Modbus",128,2054,0.018,26.5,24.3,84.1,121,5,7,550,0.92,120.6,0,"Normal",0
2025-10-27 15:00:00,"IIOT_3","Actuator","HTTP",109,1878,0.052,30.1,35.1,45,69,4,-19,-176,1.17,113.2,0,"Normal",0
2025-10-27 15:05:00,"IIOT_8","Sensor","MQTT",101,1385,0.089,37.9,31.8,51.5,0,5,-8,-493,0.84,97.4,0,"Normal",0
2025-10-27 15:10:00,"IIOT_2","Actuator","HTTP",135,1004,0.036,29.5,84.3,81.3,135,2,34,-381,2.86,95.4,0,"Normal",0
2025-10-27 15:15:00,"IIOT_8","Actuator","MQTT",108,1982,0.073,19.9,55.6,75.3,123,3,-27,978,2.79,89.6,0,"Normal",0
2025-10-27 15:20:00,"IIOT_2","Actuator","Modbus",87,1076,0.02,35.8,45.9,45.1,102,5,-21,-906,1.28,85.8,0,"DoS",1
2025-10-27 15:25:00,"IIOT_6","Sensor","Modbus",129,2637,0.016,26.9,44,50.9,97,9,42,1561,1.64,91.4,0,"Normal",0
2025-10-27 15:30:00,"IIOT_10","Actuator","HTTP",41,1752,0.081,28.9,87.7,65.3,172,5,-88,-885,3.03,125.8,1,"Normal",0
2025-10-27 15:35:00,"IIOT_1","Controller","HTTP",100,2403,0.062,22.7,25.3,62.7,99,2,59,651,1.11,118.6,0,"Normal",0
2025-10-27 15:40:00,"IIOT_4","Controller","HTTP",140,2104,0.058,43.3,87.6,78.6,81,4,40,-299,2.02,110.2,0,"Normal",0
2025-10-27 15:45:00,"IIOT_8","Sensor","Modbus",108,2754,0.097,35.8,80.4,76,80,8,-32,650,2.25,105.8,0,"Normal",0
2025-10-27 15:50:00,"IIOT_8","Actuator","MQTT",136,317,0.02,27.6,38.7,67.7,115,3,28,-2437,1.4,109.4,0,"Normal",0
2025-10-27 15:55:00,"IIOT_3","Sensor","MQTT",149,1846,0.098,24.9,81.7,36.1,83,10,13,1529,3.28,91.6,0,"Normal",0
2025-10-27 16:00:00,"IIOT_9","Sensor","MQTT",115,844,0.09,35.5,59.8,33.6,196,7,-34,-1002,1.68,111,1,"Normal",0
2025-10-27 16:05:00,"IIOT_10","Actuator","MQTT",67,1448,0.078,30.2,68.4,53.5,35,1,-48,604,2.26,101.8,0,"Normal",0
2025-10-27 16:10:00,"IIOT_6","Actuator","Modbus",161,2008,0.063,30,60.7,46.8,92,9,94,560,2.02,104.2,0,"MITM",1
2025-10-27 16:15:00,"IIOT_3","Actuator","MQTT",187,3236,0.062,30.3,29,57.8,102,3,26,1228,0.96,101.6,0,"Normal",0
2025-10-27 16:20:00,"IIOT_1","Sensor","MQTT",177,2292,0.04,33.8,74.7,57.1,123,1,-10,-944,2.21,109.6,0,"Normal",0
2025-10-27 16:25:00,"IIOT_4","Controller","HTTP",101,2373,0.059,38.9,27.1,39.3,78,9,-76,81,0.7,86,0,"Normal",0
2025-10-27 16:30:00,"IIOT_9","Sensor","MQTT",142,1934,0.063,29.7,39.1,59.7,50,4,41,-439,1.32,89,0,"Normal",0
2025-10-27 16:35:00,"IIOT_1","Actuator","Modbus",86,2736,0.093,28.9,70.4,67.8,137,4,-56,802,2.44,98,0,"DoS",1
2025-10-27 16:40:00,"IIOT_6","Actuator","Modbus",128,2667,0.053,22.7,46.5,55.8,52,3,42,-69,2.05,88,0,"Normal",0
2025-10-27 16:45:00,"IIOT_4","Sensor","HTTP",60,2135,0.074,28.3,38.2,40.5,73,8,-68,-532,1.35,78,0,"DoS",1
2025-10-27 16:50:00,"IIOT_9","Sensor","HTTP",137,1592,0.057,30.6,43.6,41.8,91,8,77,-543,1.42,80.6,0,"Normal",0
2025-10-27 16:55:00,"IIOT_8","Sensor","Modbus",84,2866,0.022,27.5,22.9,43.6,79,2,-53,1274,0.83,86.4,0,"Normal",0
2025-10-27 17:00:00,"IIOT_6","Controller","Modbus",90,2678,0.029,32.9,44,74.7,118,6,6,-188,1.34,82.6,0,"MITM",1
2025-10-27 17:05:00,"IIOT_6","Actuator","MQTT",85,2455,0.035,29.3,84.5,32.9,103,8,-5,-223,2.88,92.8,0,"Normal",0
2025-10-27 17:10:00,"IIOT_1","Actuator","Modbus",149,1564,0.038,26.6,73.9,38.4,47,6,64,-891,2.78,87.6,0,"Normal",0
2025-10-27 17:15:00,"IIOT_9","Actuator","Modbus",80,2086,0.015,27.5,37.3,56.4,48,9,-69,522,1.36,79,0,"DoS",1
2025-10-27 17:20:00,"IIOT_2","Actuator","Modbus",132,2303,0.012,29,30.7,39.1,126,3,52,217,1.06,88.4,0,"Normal",0
2025-10-27 17:25:00,"IIOT_3","Controller","Modbus",129,1227,0.056,35.5,53.5,69.9,85,5,-3,-1076,1.51,81.8,0,"Normal",0
2025-10-27 17:30:00,"IIOT_1","Sensor","Modbus",108,1208,0.069,26.7,49.8,80.4,126,6,-21,-19,1.87,86.4,0,"Normal",0
2025-10-27 17:35:00,"IIOT_1","Sensor","Modbus",113,2906,0.054,29.6,69.4,59.4,120,2,5,1698,2.34,101,0,"Normal",0
2025-10-27 17:40:00,"IIOT_1","Actuator","MQTT",137,1623,0.06,37.7,27.5,39.8,124,8,24,-1283,0.73,116.2,0,"Spoofing",1
2025-10-27 17:45:00,"IIOT_8","Sensor","Modbus",168,2137,0.099,34.4,84.5,31.5,130,6,31,514,2.46,117,0,"Normal",0
2025-10-27 17:50:00,"IIOT_2","Actuator","MQTT",110,-188,0.086,29.8,52.6,67.7,107,4,-58,-2325,1.77,121.4,0,"Data Injection",1
2025-10-27 17:55:00,"IIOT_1","Controller","Modbus",138,1981,0.008,38.2,83.6,43.9,55,9,28,2169,2.19,107.2,0,"Normal",0
